Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,# name
48,1667420654317,02/11/2022 20:24:14,1667420653792,-4,02/11/2022 16:24:13,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,24,23,2,Gender,buttonB,response_button_text,746.1999999880791,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Liyah
49,1667420656115,02/11/2022 20:24:16,1667420655591,-4,02/11/2022 16:24:15,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,25,24,1,Race,buttonA,response_button_text,1620.800000011921,null,,Caucasian or White American,1,0,1,0,null,null,false,,,Trial,,# Spencer
50,1667420656941,02/11/2022 20:24:16,1667420656415,-4,02/11/2022 16:24:16,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,25,24,2,Gender,buttonA,response_button_text,798.5999999642372,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Spencer
51,1667420660273,02/11/2022 20:24:20,1667420659752,-4,02/11/2022 16:24:19,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,26,25,1,Race,buttonD,response_button_text,3275.699999988079,null,,Hispanic or Latino,1,0,1,0,null,null,false,,,Trial,,# Jose
52,1667420661557,02/11/2022 20:24:21,1667420661044,-4,02/11/2022 16:24:21,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,26,25,2,Gender,buttonA,response_button_text,1270.5999999642372,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Jose
53,1667420664074,02/11/2022 20:24:24,1667420663397,-4,02/11/2022 16:24:23,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,27,26,1,Race,buttonC,response_button_text,2290.400000035763,null,,Chinese American,1,0,1,0,null,null,false,,,Trial,,# Yize
54,1667420675721,02/11/2022 20:24:35,1667420675198,-4,02/11/2022 16:24:35,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,27,26,2,Gender,buttonA,response_button_text,11771.199999988079,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Yize
55,1667420677464,02/11/2022 20:24:37,1667420676947,-4,02/11/2022 16:24:36,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,28,27,1,Race,buttonB,response_button_text,1643.7000000476837,null,,Black or African American,1,0,1,0,null,null,false,,,Trial,,# Kiana
56,1667420678357,02/11/2022 20:24:38,1667420677822,-4,02/11/2022 16:24:37,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,28,27,2,Gender,buttonB,response_button_text,826.8000000119209,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Kiana
57,1667420679717,02/11/2022 20:24:39,1667420679204,-4,02/11/2022 16:24:39,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,29,28,1,Race,buttonA,response_button_text,1305,null,,Caucasian or White American,1,0,1,0,null,null,false,,,Trial,,# Charlotte
